Mes,Acción,Ahorro estimado,Detalle Movimientos,Objetivo
Mes 1,"Recibo sueldo día 25, transfiero 20-25% a banco externo día 26",200000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 a banco externo | Día 27: Confirmo depósito | Día 28-30: Reviso saldo Santander para cuota,"Iniciar plan, transferir 20-25% ingreso a banco externo"
Mes 2,Meta fondo emergencia inicial $400.000 alcanzada,400000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo acumulado llega a $400.000 | Día 27: Confirmo depósito | Día 28-30: Verifico saldo para cuota,Alcanzar fondo de emergencia inicial de $400.000
Mes 3,"Sigo transfiriendo 20%, acumulando",650000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo sube a $650.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota,Continuar acumulando hacia $1.500.000
Mes 4,Acercándome a meta de $1.500.000,950000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo sube a $950.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota,Acercarse a meta de $1.500.000
Mes 5,"Mantengo disciplina, evito uso tarjeta/línea",1250000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo sube a $1.250.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota,Mantener disciplina y evitar uso de crédito
Mes 6,"Meta de $1.500.000 alcanzada, inicio prepagos",1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo llega a $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Inicio prepagos,Alcanzar $1.500.000 y comenzar prepagos
Mes 7,Sigo con prepagos + ahorro mínimo,1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo estable $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Realizo prepago,Mantener fondo y realizar prepagos periódicos
Mes 8,Sigo con prepagos + ahorro mínimo,1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo estable $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Realizo prepago,Mantener fondo y realizar prepagos periódicos
Mes 9,Sigo con prepagos + ahorro mínimo,1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo estable $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Realizo prepago,Mantener fondo y realizar prepagos periódicos
Mes 10,Sigo con prepagos + ahorro mínimo,1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo estable $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Realizo prepago,Mantener fondo y realizar prepagos periódicos
Mes 11,Sigo con prepagos + ahorro mínimo,1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo estable $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Realizo prepago,Mantener fondo y realizar prepagos periódicos
Mes 12,Revisión anual: evaluar portabilidad/prepago final,1500000,Día 25: Recibo sueldo | Día 26: Transfiero $580.000 | Fondo estable $1.500.000 | Día 27: Confirmo depósito | Día 28-30: Reviso saldo para cuota | Revisión anual y prepago final,"Revisión anual, evaluar portabilidad y/o prepago final"
